time,open,high,low,close,volume,ticker,industry,MA10,MA20,MA50,MA200,rsi,macd,upper_band,lower_band,RS
2019-11-28,9450,9500,9380,9430,1132110,SSI,Dịch vụ tài chính,9715.0,10017.5,,,8.73015873015872,-157.14667606904186,10737.320884153241,9297.679115846759,
2019-11-29,9430,9480,9400,9400,1003800,SSI,Dịch vụ tài chính,9653.0,9977.0,,,9.821428571428584,-172.1825331682394,10741.00881780527,9212.99118219473,
2019-12-02,9400,9480,9260,9260,1531820,SSI,Dịch vụ tài chính,9581.0,9923.5,,,8.800000000000011,-193.1686601471738,10731.988518292326,9115.011481707674,
2019-12-03,9140,9300,9140,9170,1208130,SSI,Dịch vụ tài chính,9496.0,9864.5,,,8.208955223880594,-214.58891735121506,10713.163965486801,9015.836034513199,
2019-12-04,9190,9400,9170,9400,1058620,SSI,Dịch vụ tài chính,9443.0,9819.5,,,23.12925170068027,-210.57813405123488,10666.37599291066,8972.62400708934,
2019-12-05,9450,9500,9300,9300,718100,SSI,Dịch vụ tài chính,9404.0,9761.0,,,24.285714285714292,-213.0132396247409,10579.854141629112,8942.145858370888,
2019-12-06,9330,9350,9260,9260,606440,SSI,Dịch vụ tài chính,9376.0,9700.5,,,24.285714285714292,-215.68446775640587,10476.467308047115,8924.532691952885,
2019-12-09,9260,9430,9240,9300,842290,SSI,Dịch vụ tài chính,9345.0,9650.5,,,24.285714285714292,-212.1284844663278,10391.920400667737,8909.079599332263,
2019-12-10,9300,9300,9070,9120,1237160,SSI,Dịch vụ tài chính,9307.0,9592.0,,,22.818791946308735,-221.28401340468372,10305.054216584871,8878.945783415129,
2019-12-11,9090,9170,8900,9020,1402910,SSI,Dịch vụ tài chính,9266.0,9528.5,,,25.18518518518519,-233.91260145148954,10205.094413219611,8851.905586780389,
2019-12-12,9090,9220,9000,9220,1480900,SSI,Dịch vụ tài chính,9245.0,9480.0,,,38.57142857142856,-225.18670773942904,10093.01669935182,8866.98330064818,
2019-12-13,9260,9280,9120,9120,1035860,SSI,Dịch vụ tài chính,9217.0,9435.0,,,32.86713286713287,-223.76115901642333,10012.198314911635,8857.801685088365,
2019-12-16,9120,9170,9020,9040,826290,SSI,Dịch vụ tài chính,9195.0,9388.0,,,33.57142857142857,-226.4760577774141,9930.376835400384,8845.623164599616,
2019-12-17,9070,9090,8860,8860,1565970,SSI,Dịch vụ tài chính,9164.0,9330.0,,,31.125827814569533,-240.3811658348568,9834.589463143828,8825.410536856172,
2019-12-18,8900,8950,8740,8740,1375490,SSI,Dịch vụ tài chính,9098.0,9270.5,,,28.834355828220865,-258.10874433188656,9757.530745814272,8783.469254185728,
2019-12-19,8740,8830,8590,8590,992680,SSI,Dịch vụ tài chính,9027.0,9215.5,,,26.85714285714286,-281.0222745579722,9749.264189999947,8681.735810000053,
2019-12-20,8640,8760,8590,8690,1297840,SSI,Dịch vụ tài chính,8970.0,9173.0,,,33.33333333333333,-287.7947295834474,9732.70292872294,8613.29707127706,
2019-12-23,8690,8780,8690,8720,1083840,SSI,Dịch vụ tài chính,8912.0,9128.5,,,36.36363636363636,-287.42790967937617,9683.41203665179,8573.58796334821,
2019-12-24,8690,8760,8640,8720,879570,SSI,Dịch vụ tài chính,8872.0,9089.5,,,26.056338028169023,-283.8649834334028,9644.116035982015,8534.883964017985,
2019-12-25,8720,8720,8620,8640,915210,SSI,Dịch vụ tài chính,8834.0,9050.0,,,26.42857142857143,-284.2203547970039,9614.940611690135,8485.059388309865,
2019-12-26,8620,8690,8590,8670,712470,SSI,Dịch vụ tài chính,8779.0,9012.0,,,28.77697841726618,-278.8666388591191,9571.533640397809,8452.466359602191,
2019-12-27,8620,8670,8570,8590,1253730,SSI,Dịch vụ tài chính,8726.0,8971.5,,,25.174825174825173,-277.87593105753876,9530.04227564634,8412.95772435366,
2019-12-30,8690,8760,8590,8620,1089430,SSI,Dịch vụ tài chính,8684.0,8939.5,,,30.46875,-271.53989581632777,9501.768899895285,8377.231100104715,
2019-12-31,8620,8640,8570,8570,1060150,SSI,Dịch vụ tài chính,8655.0,8909.5,9537.6,,31.707317073170742,-267.46989788300016,9483.882047806237,8335.117952193763,
2020-01-02,8590,8740,8570,8740,991450,SSI,Dịch vụ tài chính,8655.0,8876.5,9514.8,,30.0,-247.67180949782232,9406.3371149901,8346.6628850099,
2020-01-03,8780,8830,8620,8670,703890,SSI,Dịch vụ tài chính,8663.0,8845.0,9486.0,,30.769230769230774,-234.92206150946004,9342.763418756955,8347.236581243045,
2020-01-06,8620,8690,8570,8640,1348120,SSI,Dịch vụ tài chính,8658.0,8814.0,9456.6,,32.14285714285715,-224.64893061818657,9279.093086325036,8348.906913674964,
2020-01-07,8640,8690,8620,8670,643090,SSI,Dịch vụ tài chính,8653.0,8782.5,9428.2,,40.206185567010316,-211.64691717780624,9190.879338618526,8374.120661381474,
2020-01-08,8570,8590,8330,8430,2622960,SSI,Dịch vụ tài chính,8624.0,8748.0,9396.0,,35.779816513761475,-218.19352297605292,9152.896348009655,8343.103651990345,
2020-01-09,8520,8570,8480,8520,1149130,SSI,Dịch vụ tài chính,8612.0,8723.0,9363.6,,46.60194174757281,-213.6566070290828,9118.825586258417,8327.174413741583,
2020-01-10,8540,8720,8500,8690,2067400,SSI,Dịch vụ tài chính,8614.0,8696.5,9334.6,,50.0,-194.10595656317673,9015.793628268102,8377.206371731898,
2020-01-13,8640,8780,8640,8690,1125380,SSI,Dịch vụ tài chính,8624.0,8675.0,9304.2,,48.598130841121495,-176.5764616789129,8924.504772657607,8425.495227342393,
2020-01-14,8690,8760,8670,8740,1066740,SSI,Dịch vụ tài chính,8636.0,8660.0,9272.4,,50.89285714285714,-156.84165558236236,8844.7900658072,8475.2099341928,
2020-01-15,8760,8760,8690,8740,830260,SSI,Dịch vụ tài chính,8653.0,8654.0,9240.2,,54.80769230769231,-139.59254361974126,8818.07956991391,8489.92043008609,
2020-01-16,8740,9070,8740,9070,2384770,SSI,Dịch vụ tài chính,8686.0,8670.5,9215.6,,64.92537313432837,-98.16269756789006,8916.775412794994,8424.224587205006,
2020-01-17,9120,9260,9020,9140,2832740,SSI,Dịch vụ tài chính,8733.0,8698.0,9189.0,,70.67669172932331,-59.000707668941686,9018.171006938772,8377.828993061228,
2020-01-20,9140,9140,9020,9140,1288010,SSI,Dịch vụ tài chính,8783.0,8720.5,9162.4,,70.0,-27.64586421342392,9096.65646240694,8344.34353759306,
2020-01-21,9070,9240,9040,9140,1541100,SSI,Dịch vụ tài chính,8830.0,8741.5,9139.2,,72.8,-2.7650510877228953,9161.83946181375,8321.16053818625,
2020-01-22,9140,9220,9090,9170,1729500,SSI,Dịch vụ tài chính,8904.0,8764.0,9116.8,,69.36936936936937,19.153136416318375,9225.640096771658,8302.359903228342,
2020-01-30,9000,9000,8590,8780,2412920,SSI,Dịch vụ tài chính,8930.0,8771.0,9086.6,,53.84615384615384,4.996125071435017,9228.954261103809,8313.045738896191,
2020-01-31,8590,8690,8189,8410,4457280,SSI,Dịch vụ tài chính,8902.0,8758.0,9051.0,,43.502824858757066,-35.66815589759244,9242.044365082787,8273.955634917213,
2020-02-03,7980,8119,7830,8100,3144570,SSI,Dịch vụ tài chính,8843.0,8733.5,9012.6,,36.09756097560975,-91.85050530754052,9296.509769009364,8170.490230990636,
2020-02-04,8119,8189,7980,8070,1782240,SSI,Dịch vụ tài chính,8776.0,8706.0,8974.4,,40.21739130434783,-137.21444851695924,9341.42443337213,8070.57556662787,
2020-02-05,8119,8189,8020,8050,2164080,SSI,Dịch vụ tài chính,8707.0,8680.0,8935.0,,36.72316384180791,-172.78774364095443,9378.298684397698,7981.701315602302,
2020-02-06,8070,8410,8020,8410,2870780,SSI,Dịch vụ tài chính,8641.0,8663.5,8904.6,,42.857142857142854,-169.97151909546847,9371.358891677071,7955.641108322929,
2020-02-07,8410,8520,8310,8410,2561750,SSI,Dịch vụ tài chính,8568.0,8650.5,8879.0,,42.857142857142854,-165.82807799464172,9367.349099587162,7933.650900412838,
2020-02-10,8170,8360,7980,8330,775620,SSI,Dịch vụ tài chính,8487.0,8635.0,8854.8,,39.69849246231156,-167.0737799470462,9366.069872101643,7903.930127898357,
2020-02-11,8330,8360,8260,8280,1521880,SSI,Dịch vụ tài chính,8401.0,8615.5,8828.2,,38.72549019607843,-170.1343865485378,9363.253829461046,7867.746170538953,
2020-02-12,8310,8460,8310,8460,2789960,SSI,Dịch vụ tài chính,8330.0,8617.0,8807.4,,33.86243386243386,-156.23446993661673,9363.30599058223,7870.69400941777,
2020-02-13,8360,8410,8330,8360,1264660,SSI,Dịch vụ tài chính,8288.0,8609.0,8786.0,,29.6875,-151.54098005620472,9363.073848121674,7854.926151878327,
