time,open,high,low,close,volume,ticker,industry
2019-10-23,55130,55320,54550,55000,538120,VCB,Ngân hàng
2019-10-24,55000,56090,54870,56030,660180,VCB,Ngân hàng
2019-10-25,56030,57060,55840,56740,838210,VCB,Ngân hàng
2019-10-28,56740,56870,56350,56350,383850,VCB,Ngân hàng
2019-10-29,56350,56420,55640,55710,702620,VCB,Ngân hàng
2019-10-30,55510,56870,55510,56610,607710,VCB,Ngân hàng
2019-10-31,56800,57060,56480,56550,319340,VCB,Ngân hàng
2019-11-01,56550,57640,56420,57250,1071470,VCB,Ngân hàng
2019-11-04,57580,59640,57580,59320,1091260,VCB,Ngân hàng
2019-11-05,59380,59640,58480,58540,616630,VCB,Ngân hàng
2019-11-06,58540,59510,58480,58670,673230,VCB,Ngân hàng
2019-11-07,58670,59250,58670,58870,360850,VCB,Ngân hàng
2019-11-08,58870,59250,58540,59000,416510,VCB,Ngân hàng
2019-11-11,59190,59190,58670,58870,423790,VCB,Ngân hàng
2019-11-12,58930,59380,58870,59120,595820,VCB,Ngân hàng
2019-11-13,59450,59450,58030,58350,706550,VCB,Ngân hàng
2019-11-14,58350,58930,58160,58610,375320,VCB,Ngân hàng
2019-11-15,58030,58670,57640,57840,565270,VCB,Ngân hàng
2019-11-18,57710,57960,56420,56480,700550,VCB,Ngân hàng
2019-11-19,56740,58670,56740,58670,526560,VCB,Ngân hàng
2019-11-20,58670,58670,57710,57710,516280,VCB,Ngân hàng
2019-11-21,57450,57840,56420,56420,1000670,VCB,Ngân hàng
2019-11-22,55130,57060,54930,55130,1346230,VCB,Ngân hàng
2019-11-25,55130,55450,53260,54480,1445550,VCB,Ngân hàng
2019-11-26,54480,55320,54480,54610,727130,VCB,Ngân hàng
2019-11-27,55130,56090,55000,55640,484360,VCB,Ngân hàng
2019-11-28,55450,55640,54740,55000,494650,VCB,Ngân hàng
2019-11-29,55190,55320,54800,55000,318000,VCB,Ngân hàng
2019-12-02,55000,55260,53520,53840,438800,VCB,Ngân hàng
2019-12-03,53520,54220,52870,52870,635370,VCB,Ngân hàng
2019-12-04,52810,54680,52550,54610,376730,VCB,Ngân hàng
2019-12-05,54800,55260,54550,54680,378490,VCB,Ngân hàng
2019-12-06,54680,54930,54420,54740,256400,VCB,Ngân hàng
2019-12-09,54740,55260,54420,54930,400740,VCB,Ngân hàng
2019-12-10,55000,55380,54800,55060,512290,VCB,Ngân hàng
2019-12-11,55450,55450,54930,55380,415080,VCB,Ngân hàng
2019-12-12,55510,56740,55450,56420,464750,VCB,Ngân hàng
2019-12-13,56800,57060,56420,57000,746800,VCB,Ngân hàng
2019-12-16,57000,57000,54800,55450,665550,VCB,Ngân hàng
2019-12-17,55710,56090,55000,55000,266250,VCB,Ngân hàng
2019-12-18,55060,55900,55000,55900,845740,VCB,Ngân hàng
2019-12-19,55900,56870,55450,56740,1014960,VCB,Ngân hàng
2019-12-20,56740,57060,56610,56930,389360,VCB,Ngân hàng
2019-12-23,57320,58670,57320,58610,937250,VCB,Ngân hàng
2019-12-24,58540,58540,57320,58030,507600,VCB,Ngân hàng
2019-12-25,58030,58610,57380,57960,230880,VCB,Ngân hàng
2019-12-26,58350,58350,57380,57640,404110,VCB,Ngân hàng
2019-12-27,57580,58350,56930,58350,498870,VCB,Ngân hàng
2019-12-30,58870,59980,58550,59200,660140,VCB,Ngân hàng
2019-12-31,58940,59260,58610,58680,230770,VCB,Ngân hàng
2020-01-02,58680,59460,58350,59070,386290,VCB,Ngân hàng
2020-01-03,59520,59720,58480,58480,536130,VCB,Ngân hàng
2020-01-06,58030,58220,56920,56920,880110,VCB,Ngân hàng
2020-01-07,56590,57180,55550,57110,1013270,VCB,Ngân hàng
2020-01-08,56530,57180,56070,56590,722280,VCB,Ngân hàng
2020-01-09,57050,57830,57050,57700,722670,VCB,Ngân hàng
2020-01-10,57700,58810,57180,58220,1526920,VCB,Ngân hàng
2020-01-13,57900,58420,57900,58160,1044640,VCB,Ngân hàng
2020-01-14,58220,58550,57960,58160,1001130,VCB,Ngân hàng
2020-01-15,58290,58290,57770,58090,1471860,VCB,Ngân hàng
2020-01-16,58090,58740,57830,58220,1171580,VCB,Ngân hàng
2020-01-17,58220,61470,58220,61470,2219790,VCB,Ngân hàng
2020-01-20,61470,61670,60820,61150,832190,VCB,Ngân hàng
2020-01-21,61080,61540,60890,61150,749590,VCB,Ngân hàng
2020-01-22,61150,61800,60560,60760,877710,VCB,Ngân hàng
2020-01-30,59910,60110,56590,57830,3541560,VCB,Ngân hàng
2020-01-31,57250,58420,57050,57700,1270160,VCB,Ngân hàng
2020-02-03,54710,58680,53990,57700,1457070,VCB,Ngân hàng
2020-02-04,57900,58420,57050,58420,1118410,VCB,Ngân hàng
2020-02-05,58680,58810,57770,57830,731310,VCB,Ngân hàng
2020-02-06,58160,59130,57770,58160,889570,VCB,Ngân hàng
2020-02-07,58420,59070,57900,58550,1170540,VCB,Ngân hàng
2020-02-10,58030,58220,57570,57830,607060,VCB,Ngân hàng
2020-02-11,57900,58220,57830,58030,520210,VCB,Ngân hàng
2020-02-12,58420,58420,57960,58160,609750,VCB,Ngân hàng
2020-02-13,58030,58220,57770,58090,633270,VCB,Ngân hàng
2020-02-14,57900,58420,57900,58090,432800,VCB,Ngân hàng
2020-02-17,58090,58480,57960,58160,343900,VCB,Ngân hàng
2020-02-18,58290,58290,57900,58160,432880,VCB,Ngân hàng
2020-02-19,57900,58220,57900,58220,264010,VCB,Ngân hàng
2020-02-20,58350,58810,58030,58220,541120,VCB,Ngân hàng
2020-02-21,58220,58220,57900,57900,898350,VCB,Ngân hàng
2020-02-24,55940,57250,55940,56720,995910,VCB,Ngân hàng
2020-02-25,55940,56590,55810,56070,1229530,VCB,Ngân hàng
2020-02-26,55940,55940,54640,55290,1163030,VCB,Ngân hàng
2020-02-27,54640,55030,53930,54640,1227980,VCB,Ngân hàng
2020-02-28,52110,54250,52110,53600,1710080,VCB,Ngân hàng
2020-03-02,53020,53470,52890,53210,668980,VCB,Ngân hàng
2020-03-03,54320,54320,53470,53470,848270,VCB,Ngân hàng
2020-03-04,53340,53340,52690,53150,581530,VCB,Ngân hàng
2020-03-05,53470,54380,53470,54060,833710,VCB,Ngân hàng
2020-03-06,53990,55750,53340,54970,884750,VCB,Ngân hàng
2020-03-09,51390,52630,51130,51130,1209500,VCB,Ngân hàng
2020-03-10,50740,51980,49050,51980,1433230,VCB,Ngân hàng
2020-03-11,52300,52300,48400,50090,1806190,VCB,Ngân hàng
2020-03-12,46840,47490,46640,46640,1582400,VCB,Ngân hàng
2020-03-13,43390,47490,43390,46190,1859750,VCB,Ngân hàng
2020-03-16,46190,46190,43260,43650,1022550,VCB,Ngân hàng
2020-03-17,41370,43910,41370,43910,1364590,VCB,Ngân hàng
2020-03-18,44230,45990,44230,45080,1099800,VCB,Ngân hàng
2020-03-19,43780,44690,42930,42930,1191150,VCB,Ngân hàng
2020-03-20,42930,43130,40010,40010,2763360,VCB,Ngân hàng
2020-03-23,37470,38050,37210,37210,1875070,VCB,Ngân hàng
2020-03-24,37210,37990,36820,37730,1498070,VCB,Ngân hàng
